name,iteration,durationMs
drop-database,1,2657
create-database,1,232
drop-table-call_center,1,112
create-table-call_center,1,32236
drop-table-catalog_page,1,26
create-table-catalog_page,1,11772
drop-table-catalog_returns,1,17
create-table-catalog_returns,1,101582
drop-table-catalog_sales,1,25
create-table-catalog_sales,1,549408
drop-table-customer,1,19
create-table-customer,1,26045
drop-table-customer_address,1,15
create-table-customer_address,1,42244
drop-table-customer_demographics,1,17
create-table-customer_demographics,1,8798
drop-table-date_dim,1,15
create-table-date_dim,1,6036
drop-table-household_demographics,1,14
create-table-household_demographics,1,4693
drop-table-income_band,1,15
create-table-income_band,1,4518
drop-table-inventory,1,14
create-table-inventory,1,21864
drop-table-item,1,15
create-table-item,1,9016
drop-table-promotion,1,13
create-table-promotion,1,4708
drop-table-reason,1,14
create-table-reason,1,4283
drop-table-ship_mode,1,13
create-table-ship_mode,1,5003
drop-table-store,1,13
create-table-store,1,4887
drop-table-store_returns,1,14
create-table-store_returns,1,95438
drop-table-store_sales,1,15
create-table-store_sales,1,669854
drop-table-time_dim,1,18
create-table-time_dim,1,4946
drop-table-warehouse,1,13
create-table-warehouse,1,3588
drop-table-web_page,1,13
create-table-web_page,1,5066
drop-table-web_returns,1,12
create-table-web_returns,1,48459
drop-table-web_sales,1,12
create-table-web_sales,1,267760
drop-table-web_site,1,15
create-table-web_site,1,3848
,1,18
,1,69